Specimen Name,Tube Name,Variety,P1 #Events,P1 PI__ PE-A Mean,R #Events,R PI__ PE-A Mean
180124,GB_0085,Improved,2163,71555,1512,14692
180124,GB_0085,Improved,2245,72435,1496,14678
180124,GB_0085,Improved,2341,71542,1298,14356
180124,GB_0085,Improved,2999,70768,1052,14156
180124,GB_0093,Improved,3123,72172,652,14450
180124,GB_0093,Improved,2468,71999,1244,14753
180124,GB_0093,Improved,3162,72410,706,14861
180124,GB_0093,Improved,1920,74052,1669,14768
180124,GB_0211,Improved,2374,73413,1466,14708
180124,GB_0211,Improved,2353,74338,1707,14889
180124,GB_0211,Improved,2889,72489,811,14424
180124,GB_0211,Improved,2950,71505,856,14529
180124,GB_0220,Improved,2131,72563,1867,14424
180124,GB_0220,Improved,2466,74866,1202,14968
180124,GB_0220,Improved,2594,75028,1247,15180
180124,GB_0220,Improved,2784,73355,994,14750
180124,GB_0249,Improved,3615,69101,609,14019
180124,GB_0249,Improved,3696,72063,751,14185
180124,GB_0249,Improved,3661,72045,536,14239
180124,GB_0249,Improved,3872,71628,530,14408
180124,GB_258,Improved,2806,73783,1122,14858
180124,GB_258,Improved,3201,72291,764,14637
180124,GB_258,Improved,2346,73047,1437,14378
180124,GB_258,Improved,3003,72813,1112,14125
180129,GB_0085,Improved,3267,69015,880,14057
180129,GB_0085,Improved,3323,69345,683,13911
180129,GB_0085,Improved,3388,69874,776,14212
180129,GB_0085,Improved,3594,69842,601,14298
180129,GB_0093,Improved,3359,70180,562,14302
180129,GB_0093,Improved,3543,69901,427,13911
180129,GB_0093,Improved,1946,69725,316,13813
180129,GB_0093,Improved,3322,69930,522,14017
180129,GB_0211,Improved,4110,69209,306,13878
180129,GB_0211,Improved,3922,70032,681,13948
180129,GB_0211,Improved,2057,69997,742,14078
180129,GB_0211,Improved,3040,74073,1145,14450
180129,GB_0220,Improved,3280,70768,995,13925
180129,GB_0220,Improved,3810,70720,763,13923
180129,GB_0220,Improved,3157,71499,1263,14825
180129,GB_0220,Improved,2920,71456,844,14507
180129,GB_0249,Improved,3553,69791,860,13597
180129,GB_0249,Improved,3406,71512,738,14086
180129,GB_0249,Improved,3093,70858,1307,14076
180129,GB_0249,Improved,3781,71177,544,14296
180129,GB_258,Improved,3053,71119,1348,14211
180129,GB_258,Improved,1911,72893,2292,14493
180129,GB_258,Improved,2656,73422,1639,15334
180129,GB_258,Improved,2704,72970,1634,14792
180131,GB_0052,Wild,1539,70050,2395,13692
180131,GB_0052,Wild,4075,72199,289,14355
180131,GB_0052,Wild,2627,70498,1412,13709
180131,GB_0052,Wild,2380,63376,2050,12790
180131,GB_0102,Wild,3226,69583,1020,14039
180131,GB_0102,Wild,2729,72734,1436,14120
180131,GB_0102,Wild,3021,67075,1036,13470
180131,GB_0102,Wild,2640,72050,1664,14107
180131,GB_0167,Wild,2678,72335,1550,13890
180131,GB_0167,Wild,2542,73608,1632,14188
180131,GB_0167,Wild,2511,73155,1683,14306
180131,GB_0167,Wild,2639,74771,1555,14244
180131,GB_0183,Wild,1886,74326,2312,14340
180131,GB_0183,Wild,2363,74561,1797,14541
180131,GB_0183,Wild,1250,76069,2558,14198
180131,GB_0183,Wild,3185,73054,996,14332
180131,GB_0278,Wild,3954,71562,435,13911
180131,GB_0278,Wild,3832,71595,414,14056
180131,GB_0278,Wild,3627,71652,636,13945
180131,GB_0278,Wild,3735,72120,538,14094
180131,GB_0281,Wild,3622,72077,491,14068
180131,GB_0281,Wild,2232,72353,1601,14448
180131,GB_0281,Wild,2188,71433,1930,14391
180131,GB_0281,Wild,2979,72343,1061,14232
180131,GB_0648,Improved,2004,72147,1453,14188
180131,GB_0648,Improved,3361,72586,924,13893
180131,GB_0648,Improved,3746,72385,510,14004
180131,GB_0648,Improved,3614,72843,381,14143
180131,GB_0655,Improved,3324,71850,646,14002
180131,GB_0655,Improved,3098,72251,945,14078
180131,GB_0655,Improved,3175,71512,858,13954
180131,GB_0655,Improved,3000,71635,871,14017
180131,GB_0739,Improved,3534,72086,494,14065
180131,GB_0739,Improved,3073,72898,1109,15141
180131,GB_0739,Improved,3524,71954,781,14484
180131,GB_0739,Improved,3604,71719,534,14196
180131,GB_1027,Improved,2663,72364,1308,14015
180131,GB_1027,Improved,2863,73211,1507,14171
180131,GB_1027,Improved,3035,72930,1173,14162
180131,GB_1027,Improved,3525,72519,808,14022
180205,GB_0648,Improved,3390,68399,979,13074
180205,GB_0648,Improved,3297,70259,952,13508
180205,GB_0648,Improved,3744,69906,442,13261
180205,GB_0648,Improved,2905,69513,1320,13526
180205,GB_0655,Improved,2634,68771,1442,13320
180205,GB_0655,Improved,3255,67750,744,13232
180205,GB_0655,Improved,2718,69216,1180,13589
180205,GB_0655,Improved,3092,68850,1117,13525
180205,GB_0739,Improved,2922,68890,1431,13400
180205,GB_0739,Improved,2652,71111,1671,14502
