Batch,Accession,Variety,SampleEvents,Sample_PImean,RiceEvents,Rice_Pimean,GenomeSize.mgb,GenomeSize.pg
171121,Acala_Maxxa,Domesticate,10510,79704,6877,14650,2420.988598,4.950896928
171121,Acala_Maxxa,Domesticate,10448,79955,6426,14856,2394.93642,4.89762049
171121,Acala_Maxxa,Domesticate,10610,79970,3326,14893,2389.434654,4.886369435
171121,Acala_Maxxa,Domesticate,10580,80220,3844,15028,2375.372491,4.857612457
171207,Acala_Maxxa,Domesticate,6445,79103,1613,14626,2406.676054,4.921627923
171207,Acala_Maxxa,Domesticate,6013,79389,1702,14691,2404.690702,4.917567899
171207,Acala_Maxxa,Domesticate,6512,80498,1335,14815,2417.874115,4.944527843
171207,Acala_Maxxa,Domesticate,5444,80422,2128,14958,2392.498047,4.892634042
171121,Coker_315,Domesticate,14674,85069,2429,14572,2597.780285,5.31243412
171121,Coker_315,Domesticate,16973,85301,2491,14767,2570.467393,5.256579535
171121,Coker_315,Domesticate,17731,86069,5312,15205,2518.898014,5.151120684
171121,Coker_315,Domesticate,11885,84031,2664,15115,2473.897102,5.059094277
171207,Coker_315,Domesticate,6075,79601,1708,14066,2518.246054,5.149787431
171207,Coker_315,Domesticate,4276,85606,2187,15080,2526.114983,5.16587931
171215,Coker315,Domesticate,5668,86776,3396,14310,2697.878574,5.518250175
171215,Coker315,Domesticate,6796,82665,1666,14616,2516.26016,5.146767241
171215,Coker315,Domesticate,4028,82220,3624,14304,2557.304111,5.23071868
171215,Coker315,Domesticate,4848,84642,2258,14503,2596.512846,5.310916362
171121,DP90,Domesticate,10834,85037,2008,15008,2521.362915,5.156161381
171121,DP90,Domesticate,11157,84270,964,15284,2453.50087,5.017384193
171121,DP90,Domesticate,10401,82744,1031,15188,2424.298957,4.957666579
171121,DP90,Domesticate,10881,90082,2053,15229,2632.187877,5.382797295
171207,DP90,Domesticate,4942,88769,1910,15492,2549.788104,5.214290602
171207,DP90,Domesticate,5888,84252,2394,14550,2576.721476,5.269369072
171207,DP90,Domesticate,7070,83857,1335,14779,2524.901985,5.163398741
171207,DP90,Domesticate,7122,83692,1484,14953,2490.610786,5.093273591
171121,FM966,Domesticate,10381,87805,1620,15004,2604.128696,5.325416556
171121,FM966,Domesticate,10338,88498,1575,15274,2578.284995,5.272566453
171121,FM966,Domesticate,11179,90747,2654,15185,2659.302439,5.438246296
171121,FM966,Domesticate,10709,89542,1928,15353,2595.277443,5.307315834
171207,FM966,Domesticate,4881,79899,2728,14901,2386.031542,4.879410107
171207,FM966,Domesticate,5670,79856,2293,15055,2360.353467,4.826898705
171207,FM966,Domesticate,6637,80181,1376,15015,2376.273273,4.859454545
171207,FM966,Domesticate,5528,78606,1865,14696,2380.163578,4.86741018
171121,Hopi,Domesticate,10358,88809,2434,14774,2674.909768,5.470163124
171121,Hopi,Domesticate,10429,88194,2913,15200,2581.937372,5.280035526
171121,Hopi,Domesticate,10336,86084,2555,14660,2612.99585,5.343549795
171207,Hopi,Domesticate,4786,91985,1874,15171,2698.069023,5.517523565
171207,Hopi,Domesticate,4486,93098,2251,15329,2702.568923,5.526725814
171207,Hopi,Domesticate,4579,92225,1701,15084,2720.710869,5.563825908
171215,Hopi,Wild,7130,84795,1236,14817,2546.081899,5.20776473
171215,Hopi,Wild,4906,85508,2112,14699,2588.101857,5.293712497
171215,Hopi,Wild,6821,87067,1295,14638,2646.270549,5.412690941
171215,Hopi,Wild,6345,91913,1714,14794,2764.099885,5.653699473
171121,TM1,Domesticate,10363,80941,2808,15235,2364.157243,4.834677388
171121,TM1,Domesticate,10261,80583,4636,15336,2338.199607,4.781594288
171121,TM1,Domesticate,10318,79301,2417,14898,2368.650288,4.84386562
171121,TM1,Domesticate,10343,80644,1474,15378,2333.57872,4.772144622
171207,TM1,Domesticate,5905,80411,1316,14956,2392.490699,4.892619016
171207,TM1,Domesticate,4817,78924,2602,14754,2380.39791,4.867889386
171207,TM1,Domesticate,5006,80471,1899,15272,2344.734828,4.794958748
171207,TM1,Domesticate,4692,79715,2258,14905,2379.897877,4.866866823
171208,TX_0006,Wild,6529,80393,1127,14651,2441.750124,4.993354037
171208,TX_0006,Wild,5962,79064,1506,14669,2398.438159,4.904781512
171208,TX_0006,Wild,5700,79978,979,14912,2386.628904,4.880631706
171208,TX_0006,Wild,6319,79631,1005,14833,2388.93,4.885337423
171212,TX_0006,Wild,5571,80023,1944,14920,2386.691338,4.880759383
171212,TX_0006,Wild,5889,79989,1511,15400,2311.318514,4.726622727
171212,TX_0006,Wild,4980,81213,2370,15451,2338.940707,4.783109831
171212,TX_0006,Wild,6616,82676,1514,15724,2339.735006,4.784734164
171208,TX_0012,Wild,6271,77148,1069,14538,2361.403805,4.829046636
171208,TX_0012,Wild,5477,79428,1983,15004,2355.682866,4.817347374
171208,TX_0012,Wild,6150,79390,1272,14961,2361.32318,4.828881759
171208,TX_0012,Wild,5975,80721,1331,15536,2312.051866,4.728122425
171212,TX_0012,Wild,3170,81128,4036,15515,2326.854574,4.758393812
